Gentleman	5171.02
Gentleman	5131
Gentleman	5131.01
Sir	5173
Sir	5174
Sir	5173.03
of Christ Church, Oxford	5176
Sir	5139
Sir	5139.01
Sir	5139.03
Sir	5139.02
Sir	5140.04
Sir	5175
Gentleman	5181
Gentleman	5152
Author	971
Gentleman	1157
Gentleman	1158
Gentleman	1159
Master of Arts	791
Gentleman	5011
Gentleman	5012
Author	493
Author	5122
Author	5123
Gentleman	1126
Gentleman	1127
Gentleman	1128
Gentleman	1129
Doctor	1187
of St John's College, Oxford	1187
Author	1213
Student	5176.02
of Christ Church, Oxford	5176.02
Student	5176.04
of Christ Church, Oxford	5176.04
Student	776
Master of Arts	776
Servant to his Catholic Majesty	5104
Socio	1186
Socio	1188
Socio	1189
of Trinity College, Cambridge	5144.04
Socio	5144.04
of the Privy Chamber	5080
Author	474
Author	754
Author	40
Author	41
Author	42
Author	5015.06
Author	851
Author	5097.01
Author	5076.12
Author	5074.19
Author	5059.02
Author	1137
Author	1167
Author	5179
Author	5168
of Christ Church, Oxford	5178
of Christ Church, Oxford	5177
Fellow	5115
Master of Arts	5115
of Trinity College, Cambridge	5115
Gentleman	827
Sir	5183
Sir	5140
of Gray's Inn	827
Gentleman	829
Master of Arts	5099
Groom	5071.01
of the Privy Chamber	5071.01
Author	475
Author	476
Author	998
Author	1040
Master of Arts	175
Master of Arts	176
Master of Arts	178
Author	1070
Author	494
Author	427
Author	852
Person of Quality	1182
Master	5102
