deep_id	collection	greg_full	work_id
5082.09		172d	172
5082.10		394b	394
5082.11		120f	120
5082.12		395b	395
5082.13		396b	396
5082.14		397b	397
5082.15		398b	398
5082.16		141g	141
5082.17		145j	145
5082.18		167c	167
5082.19		165e	165
5082.20		399b	399
5082.21		119e	119
5082.22		138e	138
5082.23		142i	142
5082.24		400b	400
5082.25		279c	279
5082.26		401b	401
5082.27		117e	117
5082.28		143f	143
5082.29		402b	402
5082.30		403b	403
5082.31		404b	404
5082.32		197f	197
5082.33		265d	265
5082.34		379d	379
5082.35		405b	405
5082.36		406b	406
5083	c36b(i†)	n/a	2036
5084	c36b(i§)	n/a	2036
5085	c36b(i║)	n/a	2036
5086	c36b(ii)	n/a	2036
5087	c36b(iii)	n/a	2036
5088	c36b(iv)	n/a	2036
5089	c36b(v)	n/a	2036
5090	c37a	n/a	2037
5090.01		415a	415
5090.02		416a	416
5091	c38a	n/a	2038
5091.01		431a	431
5091.02		432a	432
5092	c38b	n/a	2038
5092.01		431b	431
5092.02		432b	432
5093	c38c	n/a	2038
5093.01		431d	431
5093.02		432d	432
5094	c38d	n/a	2038
5094.01		431e	431
5094.02		432e	432
5095	c38e	n/a	2038
5095.01		431c	431
5095.02		432c	432
5096	c38f	n/a	2038
5096.01		431f	431
5096.02		432f	432
5097	c39a	n/a	2039
5097.01		455a(*)	455
5097.02		455a(†)	455
5097.03		457a	457
5097.04		456a	456
5098	c40a(*)	n/a	2040
5098.01		99b	99
5098.02		84e	84
5098.03		82d(i)	82
5098.04		82d(ii)	82
5098.05		105b	105
5098.06		106b	106
5098.07		125c(i)	125
5098.08		125c(ii)	125
5099	c40a(†)	n/a	2040
5100	c41a	n/a	2041
5100.01		418b	418
5101	c42a	n/a	2042
5101.01		489a	489
5101.02		278b	278
5102	c43a(i)	n/a	2043
5102.01		184b	184
5102.02		185b(i)	185
5102.03		185b(ii)	185
5102.04		231b(i)	231
5102.05		231b(ii)	231
5102.06		252b(i*)	252
5102.07		252b(i†)	252
5102.08		252b(ii)	252
5102.09		230c(i)	230
5102.10		230c(ii)	230
5102.11		214b(i)	214
5102.12		214b(ii)	214
5103	c43a(ii)	n/a	2043
5104	c44a	n/a	2044
5104.01		439a(ii)	439
5105	c45a	n/a	2045
5105.01		528a	528
5105.02		529a	529
5105.03		530a	530
5106	c46a	n/a	2046
5106.01		209c	209
5106.02		196d	196
5106.03		260c	260
5106.04		261c	261
5107	c47a(i*)	n/a	2047
5107.01		543a	543
5107.02		544a	544
5108	c47a(i†)	n/a	2047
5109	c47a(ii*)	n/a	2047
5110	c47a(ii†)	n/a	2047
5111	c48a	n/a	2048
5111.01		547a	547
5111.02		548a	548
5112	c48b(i)	n/a	2048
5112.01		547b	547
5112.02		548b	548
5113	c48b(ii)	n/a	2048
5114	c48c(i)	n/a	2048
5114.01		547c	547
5114.02		548c	548
5114.03		469c	469
5114.04		469d	469
5115	c48c(ii)	n/a	2048
5116	c48d(i)	n/a	2048
5116.01		547d	547
5116.02		548d	548
5116.03		431g	431
5116.04		432g	432
5116.05		469e	469
5117	c48d(ii)	n/a	2048
5118	c49a	n/a	2049
5118.01		513a	513
5118.02		514a	514
5118.03		540a(i)	540
5118.04		540a(ii†)	540
5118.05		542a(i)	542
5118.06		542a(ii†)	542
5118.09		576a	576
5118.10		581a	581
5119	c50a	n/a	2050
5119.01		551a	551
5119.02		552a	552
5120	c51a(i)	n/a	2051
5120.01		585a(i)	585
5120.02		585a(ii)	585
5121	c51a(ii)	n/a	2051
5122	c51a(iii)	n/a	2051
5123	c51a(iv)	n/a	2051
5124	c52a(i)	n/a	2052
5124.01		606a	606
5124.02		350b	350
5124.03		607a	607
5124.04		608a	608
5124.05		609a	609
5124.06		610a	610
5124.07		585b	585
5124.08		381b	381
5124.09		385b	385
5124.10		407b	407
5124.11		611a	611
5124.12		612a	612
5124.13		411b	411
5124.14		437b	437
5124.15		452b	452
5124.16		613a	613
5124.17		614a	614
5124.18		615a	615
5124.19		616a	616
5124.20		617a	617
5124.21		618a	618
5125	c52a(ii)	n/a	2052
5125.01		457b(i)	457
5126	c53a	n/a	2053
5126.01		496b	496
5126.02		496b(cancel)	496
5127	c53b	n/a	2053
5127.01		496c	496
5128	c53c(i)	n/a	2053
5128.01		496d	496
5129	c53c(ii)	n/a	2053
5130	c54a(i)	n/a	2054
5130.01		600a(i)	600
5131	c54a(ii)	n/a	2054
5131.01		600a(ii)	600
5132	c55a	n/a	2055
5132.01		619a	619
5132.02		620a	620
5133	c56a	n/a	2056
5133.01		625a	625
5133.02		524b	524
5134	c57a	n/a	2057
5134.01		627a	627
5135	c58a(*)	n/a	2058
5135.01		541b(*)	541
5135.02		541b(†)	541
5135.03		628a	628
5135.04		621b	621
5136	c58a(†)	n/a	2058
5137	c58a(§)	n/a	2058
5138	c58b	n/a	2058
5138.01		541c	541
5138.02		628b	628
5138.03		621c	621
5139	c58c(i)	n/a	2058
5139.01		541d	541
5139.02		628c	628
5139.03		621d	621
5140	c58c(ii)	n/a	2058
5140.04		811a	811
5141	c59a(i)	n/a	2059
5141.01		633a	633
5141.02		634a	634
5142	c59a(ii)	n/a	2059
5143	c60a	n/a	2060
5143.01		637a	637
5143.02		638a	638
5143.03		639a	639
5143.04		640a	640
5143.05		641a	641
5143.06		642a	642
5143.07		643a	643
5143.08		644a	644
5143.09		645a	645
5143.10		646a	646
5143.11		647a	647
5143.12		648a	648
5143.13		649a	649
5143.14		650a	650
5143.15		651a	651
5143.16		652a	652
5143.17		653a	653
5143.18		654a	654
5143.19		655a	655
5143.20		656a	656
5143.21		657a	657
5143.22		658a	658
5143.23		659a	659
5143.24		660a	660
5143.25		661a	661
5143.26		662a	662
5143.27		663a	663
5143.28		664a	664
5143.29		665a	665
5143.30		666a	666
5143.31		667a	667
5143.32		668a	668
5143.33		669a	669
5143.34		309b	309
5143.35		670a	670
5144	c61a	n/a	2061
5144.01		L19a	1019
5144.02		L20a	1020
5144.03		L21a	1021
5144.04		L22a	1022
5145	c62a	n/a	2062
5145.01		681a(ii)	681
5145.02		692a	692
5146	c63a	n/a	2063
5146.01		701a	701
5146.02		570c	570
5146.03		702a	702
5146.04		703a(*)	703
5146.05		703a(†)	703
5147	c64a	n/a	2064
5147.01		146a	146
5147.02		159a(*)	159
5147.03		219a	219
5147.04		"236a(*1, †2)"	236
5147.05		226a	226
5147.06		246a(*)	246
5148	c65a	n/a	2065
5148.01		203a	203
5148.02		252a	252
5148.03		214a	214
5148.04		231a(i)	231
5148.05		230a	230
5148.06		184a	184
5148.07		185a	185
5148.08		315c(ii)	315
5149	c66a	n/a	2066
5149.01		420a(*)	420
5149.02		486a(i)	486
5149.03		480a	480
5149.04		478a	478
5149.05		491a(*)	491
5149.06		532a	532
5149.07		555a	555
5150	c67a(i)	n/a	2067
5150.01		309c	309
5151	c67a(ii)	n/a	2067
5152	c67a(iii)	n/a	2067
5153	c68a(i)	n/a	2068
5153.01		718a	718
5153.02		719a	719
5153.03		720a	720
5153.04		721a	721
5153.05		722a	722
5154	c68a(ii)	n/a	2068
5155	c69a(i)	n/a	2069
5155.01		723a	723
5155.02		724a	724
5155.03		725a	725
5155.04		726a	726
5155.05		727a	727
5155.06		728a	728
5156	c69a(ii)	n/a	2069
5156.01		747a(i)	747
5156.02		752a(i)	752
5157	c70a	n/a	2070
5157.01		731a	731
5157.02		732a	732
5158	c71a	n/a	2071
5158.01		553a(ii)	553
5158.02		554a(ii)	554
5159	c72a(i)	n/a	2072
5159.01		743a	743
5160	c72a(ii)	n/a	2072
5161	c73a(i)	n/a	2073
5161.01		750a(i)	750
5161.02		751a(i)	751
5162	c73a(ii)	n/a	2073
5162.01		750a(ii)	750
5162.02		751a(ii)	751
5163	c74a(i)	n/a	2074
5163.01		754a(i)	754
5163.02		755a	755
5163.03		756a	756
5163.04		757a	757
5164	c74a(ii)	n/a	2074
5164.01		754a(ii)	754
5164.02		769a	769
5165	c75a	n/a	2075
5165.01		758a	758
5165.02		759a	759
5165.03		760a	760
5166	c76a(i)	n/a	2076
5166.01		768a	768
5167	c76a(ii)	n/a	2076
5168	c76a(iii)	n/a	2076
5169	c77a	n/a	2077
5169.01		447b	447
5169.02		458b	458
5169.03		485b	485
5170	c78a	n/a	2078
5170.01		779a	779
5170.02		780a	780
5171	c79a	n/a	2079
5171.01		781a	781
5171.02		782a	782
5172	c80a	n/a	2080
5172.01		592a	592
5172.02		593a	593
5173	c81a(i)	n/a	2081
5173.01		795a	795
5173.02		771b(i)	771
5173.03		796a(i)	796
5174	c81a(ii)	n/a	2081
5175	c81a(iii)	n/a	2081
5176	c82a(i)	n/a	2082
5176.01		568b(i)	568
5176.02		671b(i)	671
5176.03		671a(i)	671
5176.04		671b(ii)	671
5177	c82a(ii)	n/a	2082
5178	c82a(iii)	n/a	2082
5178.01		671a(ii)	671
5179	c83a(i)	n/a	2083
5179.01		473b(i)	473
5179.02		789a	789
5180	c83a(ii)	n/a	2083
5181	c83a(iii)	n/a	2083
5182	c84a	n/a	2084
5182.01		806a	806
5182.02		806a(cancel)	806
5182.03		807a	807
5182.04		808a	808
5182.05		809a	809
5182.06		810a	810
5183	c85a	n/a	2085
