deep_id	collection	greg_full	work_id
611		323a	323
612		323b	323
613		323c	323
614		324a(*)	324
615		324a(†)	324
616		325a	325
617		326a	326
618		326b	326
619		327a	327
620		328a	328
621		328b	328
622		328c	328
623		329a	329
624		329a(cancel)	329
625		330a	330
626		330b	330
627		330c	330
628		330d(i)	330
629		331a	331
630		332a	332
631		333a	333
632		333b	333
633		334a	334
634		334b	334
635		334c	334
636		334d	334
637		334e	334
638		334f	334
639		334h	334
640		334g	334
641		335a	335
642		336a	336
643		336b	336
644		336c	336
645		337a(*)	337
646		337a(†)	337
647		338a	338
648		350a	350
649		351a	351
650		352a(i)	352
651		352a(ii)	352
652		352b	352
653		353a	353
654		353b	353
655		354a	354
656		355a	355
657		356a(i)	356
658		356a(ii)	356
659		356b	356
660		357a(*)	357
661		357a(†)	357
662		357b	357
663		357c	357
664		357d	357
665		357e	357
666		357f(i)	357
667		357f(ii)	357
668		358a	358
669		359a	359
670		360a	360
671		360b	360
672		360c	360
673		360d	360
674		360e	360
675		361a	361
676		362a	362
677		363a(*)	363
678		363a(†)	363
679		363b	363
680		363c	363
681		363d	363
682		363e(i)	363
683		363e(ii)	363
684		363f	363
685		363g	363
686		364a	364
687		365a(*)	365
688		365a(†)	365
689		366a	366
690		367a	367
691		368a	368
692		368b(i)	368
693		368b(ii)	368
694		379a	379
695		379c	379
696		379e	379
697		380a(*)	380
698		380a(†)	380
699		380b	380
700		380c	380
701		381a(*)	381
702		381a(†)	381
703		382a(*)	382
704		382a(†)	382
705		383a	383
706		384a	384
707		384b	384
708		384b(cancel)	384
709		385a	385
710		386a	386
711		386b	386
712		387a	387
713		388a	388
714		389a	389
715		389b(i*)	389
716		389b(i†)	389
717		407a	407
718		408a	408
719		408b(*)	408
720		408b(†)	408
721		409a	409
722		410a	410
723		410b	410
724		411a	411
725		412a	412
726		412b(i)	412
727		412b(ii)	412
728		412c	412
729		413a	413
730		414a	414
731		417a	417
732		418a	418
733		419a	419
734		420a(*)	420
735		420a(†)	420
736		421a	421
737		422a	422
738		423a	423
739		423b	423
740		424a(*)	424
741		424a(†)	424
742		425a	425
743		425b	425
744		425c	425
745		426a	426
746		426b	426
747		426c	426
748		427a	427
749		428a	428
750		429a	429
751		429b	429
752		430a	430
753		433a	433
754		434a	434
755		435a	435
756		436a(*1*2)	436
757		"436a(*1, †2)"	436
758		436a(†1*2)	436
759		"436a(†1, †2)"	436
760		437a	437
761		438a	438
762		439a(i*)	439
763		439a(i†)	439
764		440a	440
765		441a	441
766		441b	441
767		442a	442
768		443a	443
769		444a(i*)	444
770		444a(i†)	444
771		444a(ii)	444
772		444a(iii)	444
773		445a	445
774		446a	446
775		447a	447
776		447a	447
777		448a	448
778		449a(*)	449
779		449a(†)	449
780		450a	450
781		451a	451
782		452a	452
783		453a(*)	453
784		453a(†)	453
785		454a	454
786		457b(i)	457
787		458a	458
788		459a	459
789		460a	460
790		461a	461
791		461a	461
792		462a	462
793		463a	463
794		464a	464
795		465a	465
796		466a	466
797		467a(i)	467
798		467a(ii)	467
799		468a	468
800		469a(*)	469
801		469a(†)	469
802		469b	469
803		469c	469
804		469d	469
805		470a(i)	470
806		470a(ii)	470
807		471a	471
808		472a(*)	472
809		472a(†)	472
810		473a	473
811		474a	474
812		475a	475
813		476a	476
814		477a	477
815		478a	478
816		479a	479
817		480a	480
818		481a	481
819		482a	482
820		483a	483
821		484a	484
822		485a	485
823		486a(i)	486
824		486a(ii)	486
825		487a	487
826		"488a,b(*)"	488
827		"488b,a(*)"	488
828		"488a,b(†)"	488
829		"488b,a(†)"	488
830		488c(i)	488
831		488c(ii)	488
832		490a	490
833		491a(*)	491
834		491a(†)	491
835		492a	492
836		493a	493
837		494a	494
838		495a	495
839		496a	496
840		497a(*)	497
841		497a(†)	497
842		498a	498
843		499a	499
844		500a	500
845		501a	501
846		502a	502
847		503a(i)	503
848		503a(ii)	503
849		504a(*)	504
850		504a(†)	504
851		504b	504
852		504c	504
853		505a	505
854		506a	506
855		507a(*)	507
856		507a(†)	507
857		508a	508
858		509a	509
859		510a	510
860		511a(*)	511
861		511a(†)	511
862		512a	512
863		513a	513
864		514a	514
865		515a	515
866		515c(*)	515
867		515c(†)	515
868		515b	515
869		516a	516
870		517a	517
871		518a	518
872		519a	519
873		520a	520
874		521a	521
875		522a	522
876		523a	523
877		524a	524
878		525a	525
879		525b	525
880		526a	526
881		527a	527
882		531a	531
883		532a	532
884		533a(*)	533
885		533a(†)	533
886		534a	534
887		534b(*)	534
888		534b(†)	534
889		535a	535
890		536a(*)	536
891		536a(†)	536
892		536a(§)	536
893		537a	537
894		537b(*)	537
895		537b(†)	537
896		538a(*)	538
897		538a(†)	538
898		539a	539
899		540a(i)	540
900		540a(ii*)	540
901		540a(ii†)	540
902		541a	541
903		541b(*)	541
904		541b(†)	541
905		541c	541
906		542a(i)	542
907		542a(ii*)	542
908		542a(ii†)	542
909		545a	545
910		546a	546
911		549a	549
912		550a	550
913		553a(i)	553
914		553a(ii)	553
915		554a(i)	554
916		554a(i)	554
917		554a(ii)	554
918		555a	555
919		556a	556
920		557a(*)	557
921		557a(†)	557
922		558a(i)	558
923		559a	559
924		560a	560
925		560π	560
926		560b	560
927		560c	560
928		561a(i)	561
929		561a(ii)	561
930		562a(*)	562
931		562a(†)	562
932		563a	563
933		564a(*)	564
934		564a(†)	564
935		565a	565
936		565b	565
937		566a	566
938		567a	567
939		568a	568
940		568b(ii)	568
941		569a	569
942		570a	570
943		570b	570
944		571a	571
945		572a	572
946		573a	573
947		574a	574
948		575a(*)	575
949		575a(†)	575
950		575a(§)	575
951		576a	576
952		577a	577
953		578a	578
954		579a(i*)	579
955		579a(i†)	579
956		579a(ii*)	579
957		579a(ii†)	579
958		"579a(iii*1,*2)"	579
959		"579a(iii*1, †2)"	579
960		"579a(iii†1,*2)"	579
961		"579a(iii†1, †2)"	579
962		580a	580
963		581a	581
964		582a(i)	582
965		582a(ii)	582
966		583a	583
967		584a(*)	584
968		584a(†)	584
969		586a	586
970		587a(*)	587
971		587a(†)	587
972		588a(i)	588
973		588a(ii)	588
974		589a(i)	589
975		589a(ii)	589
976		590a	590
977		591a	591
978		592a	592
979		593a	593
980		594a	594
981		595a(*)	595
982		595a(†)	595
983		596a	596
984		597a	597
985		598a	598
986		599a	599
987		601a	601
988		602a	602
989		603a	603
990		604a	604
991		605a	605
992		605b	605
993		605c	605
994		621a	621
995		621b	621
996		621c	621
997		622a	622
998		623a	623
999		624a(i)	624
1000		624a(ii)	624
1001		626a	626
1002		627a	627
1003		628a	628
1004		628b	628
1005		629a(i)	629
1006		629a(ii)	629
1007		630a	630
1008		631a	631
1009		632a	632
1010		635a	635
1011		635.5a	635.5
1012		636a	636
1013		671a(i)	671
1015		671b(i)	671
1016		671b(ii)	671
1017		671b(iii)	671
1018		672a	672
1019		673a	673
1020		673.5a	673.5
1021		674a	674
1022		674.5a	674.5
1023		675a	675
1024		676a	676
1025		676b	676
1026		677a	677
1027		678a	678
1028		678.5a	678.5
1029		679a	679
1030		680a	680
1031		680b	680
1032		681a(i*)	681
1033		681a(i†)	681
1034		682a	682
1035		683a	683
1036		684a	684
1037		685a	685
1038		686a	686
1039		687a	687
1040		687b	687
1041		687c	687
1042		688a	688
1043		688b	688
1044		689a	689
1045		690a	690
1046		690b	690
1047		691a	691
1048		692a	692
1049		693a(i)	693
1050		693a(ii)	693
1051		694a	694
1052		695a	695
1053		696a	696
1054		697a	697
1055		698a	698
1056		699a	699
1057		700a	700
1058		704a	704
1059		705a	705
1060		706a	706
1061		707a	707
1062		708a	708
1063		709a	709
1064		710a	710
1065		711a	711
1066		711b(*)	711
1067		711b(†)	711
1068		712a(i*)	712
1069		712a(i†)	712
1070		713a	713
1071		713b(i)	713
1072		713b(ii)	713
1073		714a(i)	714
1074		714a(ii)	714
1075		715a	715
1076		716a	716
1077		717a	717
1078		721a	721
1079		722a	722
1080		723a	723
1081		724a	724
1082		725a	725
1083		726a	726
1084		727a	727
1085		728a	728
1086		729a(*)	729
1087		729a(†)	729
1088		730a(i*)	730
1089		730a(i†)	730
1090		730a(ii)	730
1091		730a(iii)	730
1092		733a(i)	733
1093		733a(ii)	733
1094		733a(iii)	733
1095		733a(iv)	733
1096		734a	734
1097		735a	735
1098		736a	736
1099		737a	737
1100		738a(i)	738
1101		738a(ii)	738
1102		739a	739
1103		740a	740
1104		741a	741
1105		742a	742
1106		744a	744
1107		745a(i)	745
1108		745a(ii)	745
1109		746a	746
1110		747a(i)	747
1111		747a(ii)	747
1112		748a	748
1113		749a	749
1114		752a(i)	752
1115		752a(ii)	752
1116		753a	753
1117		761a	761
1118		762a	762
1119		763a(i)	763
1120		763a(ii)	763
1121		763b(i)	763
1122		764a	764
1123		765a	765
1124		766a	766
1125		767a(i*)	767
1126		767a(i†)	767
1127		767a(i§)	767
1128		767a(i║)	767
1129		767a(i‡)	767
1130		767a(ii)	767
1131		767a(iii)	767
1132		770a	770
1133		771a	771
1134		772a(i)	772
1135		773a(i*)	773
1136		773a(i†)	773
1137		773a(ii)	773
1138		774a(i)	774
1139		774a(ii)	774
1140		775a	775
1141		776a(i*)	776
1142		776a(i†)	776
1143		776a(ii)	776
1144		777a(i)	777
1145		777a(ii)	777
1146		777a(iii)	777
1147		778a	778
1148		780a	780
1149		783a	783
1150		784a	784
1151		785a	785
1152		786a(*)	786
1153		786a(†)	786
1154		787a	787
1155		"788a(*1,*2)"	788
1156		"788a(*1,, †2)"	788
1157		"788a(*1,, §2)"	788
1158		"788a(*1,, ||2)"	788
