deep_id	greg	stc	author_name	title12	11a	22607	Skelton, John	Magnificence
404	217b	4972	Chapman, George	Eastward Ho
404	217b	4972	Jonson, Ben	Eastward Ho
404	217b	4972	Marston, John	Eastward Ho
405	217c	4973	Chapman, George	Eastward Ho
405	217c	4973	Jonson, Ben	Eastward Ho
405	217c	4973	Marston, John	Eastward Ho
406	218a	18279	Munday, Anthony	The Triumphs of Reunited Britannia
407	219a	4963	Chapman, George	All Fools
410	222a	22333	Shakespeare, William	The London Prodigal
411	223a	6239	Daniel, Samuel	Philotas
419	226a	4978	Chapman, George	The Gentleman Usher (Vincentio and Margaret)
426	230a	17483	Marston, John	Parasitaster, or The Fawn
427	230b	17484	Marston, John	Parasitaster, or The Fawn
428	231ai	17488	Marston, John	The Wonder of Women, or Sophonisba
429	231aii	17488.3	Marston, John	The Wonder of Women, or Sophonisba
442	235a*	6412	Day, John	The Isle of Gulls
443	235a†	6413	Day, John	The Isle of Gulls
445	236a*1 236a*2	4983	Chapman, George	Monsieur D'Olive
446	236a*1 236a†2	4983	Chapman, George	Monsieur D'Olive
449	237a	14774	Jonson, Ben	Hymenaei
450	238a	4538	Campion, Thomas	The Masque at Lord Hay's Marriage
460	241a	6532	Dekker, Thomas	The Whore of Babylon
470	245bi	B1618	Fletcher, John	The Woman Hater (The Hungry Courtier)
471	245bii	B1619	Fletcher, John	The Woman Hater (The Hungry Courtier)
471	245bii	B1619	Beaumont, Francis	The Woman Hater (The Hungry Courtier)
477	246biv	C1944	Chapman, George	Bussy D'Ambois
484	249a	25635	Wilkins, George	The Miseries of Enforced Marriage
485	249b	25636	Wilkins, George	The Miseries of Enforced Marriage
486	249c	25637	Wilkins, George	The Miseries of Enforced Marriage
487	249d	25638	Wilkins, George	The Miseries of Enforced Marriage
488	250a	6539	Dekker, Thomas	Northward Ho
488	250a	6539	Webster, John	Northward Ho
489	251a	21531	S., W.	The Puritan, or The Widow of Watling Street
490	252a	17487	Marston, John	What You Will
495	255a	22384	Sharpham, Edward	The Fleer
496	255b	22385	Sharpham, Edward	The Fleer
497	255c	22386	Sharpham, Edward	The Fleer
498	255d	22387	Sharpham, Edward	The Fleer
499	256a	6537	Dekker, Thomas	The Famous History of Sir Thomas Wyatt
499	256a	6537	Webster, John	The Famous History of Sir Thomas Wyatt
500	256b	6538	Dekker, Thomas	The Famous History of Sir Thomas Wyatt
500	256b	6538	Webster, John	The Famous History of Sir Thomas Wyatt
501	257a	6540	Dekker, Thomas	Westward Ho
501	257a	6540	Webster, John	Westward Ho
502	258a	13371	Heywood, Thomas	A Woman Killed with Kindness
503	258b	13372	Heywood, Thomas	A Woman Killed with Kindness
504	259ai	14783	Jonson, Ben	Volpone, or The Fox
528	273d	13362	Heywood, Thomas	The Rape of Lucrece
529	273e	13363	Heywood, Thomas	The Rape of Lucrece
505	259aii	14783	Jonson, Ben	Volpone, or The Fox
507	262aii	17896a	M., T.	A Trick to Catch the Old One
508	262b	17897	Middleton, Thomas	A Trick to Catch the Old One
517	265a	22292	Shakespeare, William	King Lear
518	265b	22293	Shakespeare, William	King Lear
519	265e	S2957	Shakespeare, William	King Lear
520	266a	17907	Middleton, Thomas	Your Five Gallants (The Five Witty Gallants)
521	267a	6416	Day, John	Law Tricks
522	268a	6411	Day, John	Humor Out of Breath
523	272a	22340	Shakespeare, William	A Yorkshire Tragedy
524	272b	22341	Shakespeare, William	A Yorkshire Tragedy
525	273a	13360	Heywood, Thomas	The Rape of Lucrece
526	273b	13361	Heywood, Thomas	The Rape of Lucrece
527	273c	13361a	Heywood, Thomas	The Rape of Lucrece
530	276a	17888	M., T.	A Mad World, My Masters
531	276b	17889	M., T.	A Mad World, My Masters
532	277a cancel	17399	Markham, Gervase	The Dumb Knight
538	279ai	22331	Shakespeare, William	Troilus and Cressida
539	279aii	22332	Shakespeare, William	Troilus and Cressida
540	280a	14778	Jonson, Ben	The Masque of Queens
541	281ai	14757	Jonson, Ben	The Case Is Altered
543	281aii†	14758	Jonson, Ben	The Case Is Altered
546	284a	22334	Shakespeare, William	Pericles, Prince of Tyre
547	284b	22335	Shakespeare, William	Pericles, Prince of Tyre
548	284c	22336	Shakespeare, William	Pericles, Prince of Tyre
549	284e*	22337	Shakespeare, William	Pericles, Prince of Tyre
550	284e†	22338	Shakespeare, William	Pericles, Prince of Tyre
551	284f	22339	Shakespeare, William	Pericles, Prince of Tyre
552	285a	773	Armin, Robert	The Two Maids of More-Clacke
553	286a	17617	Mason, John	The Turk (Muleasses the Turk)
554	286b	17618	Mason, John	The Turk (Muleasses the Turk)
555	287a	11068	Fletcher, John	The Faithful Shepherdess
556	287b	11069	Fletcher, John	The Faithful Shepherdess
557	287c	11070	Fletcher, John	The Faithful Shepherdess
558	287d	F1340	Fletcher, John	The Faithful Shepherdess
562	292a	1502	Barry, Lording	Ram Alley, or Merry Tricks
563	292b	1502a	Barry, Lording	Ram Alley, or Merry Tricks
564	292c	1503	Barry, Lording	Ram Alley, or Merry Tricks
565	293a*	24146	Tourneur, Cyril	The Atheist's Tragedy, or The Honest Man's Revenge
566	293a†	24147	Tourneur, Cyril	The Atheist's Tragedy, or The Honest Man's Revenge
567	294a	13325	Heywood, Thomas	The Golden Age, or The Lives of Jupiter and Saturn
568	295a	18267	M, A.	Chryso-Thriambos
569	295b	18267.5	M, A.	Chryso-Thriambos
570	296a	14759	Jonson, Ben	Catiline His Conspiracy
571	296c	14760	Jonson, Ben	Catiline His Conspiracy
573	297a	4980	Chapman, George	May Day
572	296d	14760.5	Jonson, Ben	Catiline His Conspiracy
574	298a	17908	Dekker, Thomas	The Roaring Girl, or Moll Cutpurse
574	298a	17908	Middleton, Thomas	The Roaring Girl, or Moll Cutpurse
575	299a	10854	Field, Nathan	A Woman Is a Weathercock
576	300a	6184	Daborne, Robert	A Christian Turned Turk (The Two Famous Pirates)
577	301a	4994	Chapman, George	The Widow's Tears
578	302a	6530	Dekker, Thomas	Troia Nova Triumphans
579	303a	14755	Jonson, Ben	The Alchemist
580	304ci	14763	J., B.	Epicene, or The Silent Woman
581	304cii	14764	Jonson, Ben	Epicene, or The Silent Woman
582	305a	6507	Dekker, Thomas	If It Be Not Good, the Devil Is in It (If This Be Not a Good Play, the Devil Is in It)
583	306a	25178	Webster, John	The White Devil (Vittoria Corombona)
584	306b	25179	Webster, John	The White Devil (Vittoria Corombona)
585	307a	4989	Chapman, George	The Revenge of Bussy D'Ambois
586	308ai	4613	C., E.	Mariam, the Fair Queen of Jewry
587	308aii	4613	C., E.	Mariam, the Fair Queen of Jewry
609	321a	23658	Tailor, Robert	The Hog Hath Lost His Pearl
610	322a	18274	M, A.	Himatia-Poleos
611	323a	5673	Cooke, Jo.	Greene's Tu Quoque, or The City Gallant
612	323b	5674	Cooke, Jo.	Greene's Tu Quoque, or The City Gallant
613	323c	5675	Cooke, Jo.	Greene's Tu Quoque, or The City Gallant
588	309a	1663	Beaumont, Francis	The Masque of the Inner Temple and Gray's Inn
590	310a*	4981	Chapman, George	The Masque of the Middle Temple and Lincoln's Inn
590	310a*	4981	Jones, Inigo	The Masque of the Middle Temple and Lincoln's Inn
591	310a†	4981	Chapman, George	The Masque of the Middle Temple and Lincoln's Inn
591	310a†	4981	Jones, Inigo	The Masque of the Middle Temple and Lincoln's Inn
592	310b	4982	Chapman, George	The Masque of the Middle Temple and Lincoln's Inn
592	310b	4982	Jones, Inigo	The Masque of the Middle Temple and Lincoln's Inn
593	311a*	17903	Middleton, Thomas	The Triumphs of Truth
5024		18138	Mornay, Philippe de	A Discourse of Life and Death; Antonius
595	313a	13310	Heywood, Thomas	The Brazen Age
597	314a*	23248	Stephens, John	Cynthia's Revenge, or Maenander's Ecstasy
599	315ai	17476	Marston, John	The Insatiate Countess
600	315aii	17476.5	Machin, Lewis	The Insatiate Countess
600	315aii	17476.5	Barkstead, William	The Insatiate Countess
602	315ci	17478	Marston, John	The Insatiate Countess
603	315cii	17478a	Barkstead, William	The Insatiate Countess
605	316b	1675	Fletcher, John	The Knight of the Burning Pestle
605	316b	1675	Beaumont, Francis	The Knight of the Burning Pestle
606	317a	13365	Heywood, Thomas	The Silver Age
614	324a*	4539	Campion, Thomas	The Masque at the Earl of Somerset's Marriage (The Masque of Squires)
615	324a†	4539	Campion, Thomas	The Masque at the Earl of Somerset's Marriage (The Masque of Squires)
616	325a	6257	Daniel, Samuel	Hymen's Triumph
619	327a	16	A., R.	The Valiant Welshman (Caradoc the Great)
620	328a	1667	Fletcher, John	Cupid's Revenge
621	328b	1668	Fletcher, John	Cupid's Revenge
621	328b	1668	Beaumont, Francis	Cupid's Revenge
622	328c	1669	Fletcher, John	Cupid's Revenge
622	328c	1669	Beaumont, Francis	Cupid's Revenge
623	329a	22871	Smith, W.	The Hector of Germany, or The Palsgrave, Prime Elector
624	329a cancel	22871a	Smith, W.	The Hector of Germany, or The Palsgrave, Prime Elector
630	332a	18275	M, A.	Metropolis Coronata
697	380a*	17644a	Dekker, Thomas	The Virgin Martyr
697	380a*	17644a	Massinger, Philip	The Virgin Martyr
698	380a†	17644	Dekker, Thomas	The Virgin Martyr
698	380a†	17644	Massinger, Philip	The Virgin Martyr
699	380b	17645	Dekker, Thomas	The Virgin Martyr
699	380b	17645	Massinger, Philip	The Virgin Martyr
631	333a	13321	Heywood, Thomas	The Four Prentices of London
632	333b	13322	Heywood, Thomas	The Four Prentices of London
633	334a	1686	Fletcher, John	The Scornful Lady
633	334a	1686	Beaumont, Francis	The Scornful Lady
634	334b	1687	Fletcher, John	The Scornful Lady
634	334b	1687	Beaumont, Francis	The Scornful Lady
635	334c	1688	Fletcher, John	The Scornful Lady
635	334c	1688	Beaumont, Francis	The Scornful Lady
636	334d	1689	Fletcher, John	The Scornful Lady
636	334d	1689	Beaumont, Francis	The Scornful Lady
637	334e	1690	Fletcher, John	The Scornful Lady
637	334e	1690	Beaumont, Francis	The Scornful Lady
