deep_id,work_id,edition_id
560,289,680
561,290,681
5071.01,291,682
562,292,683
563,292,684
564,292,685
565,293,686
566,293,686
567,294,687
568,295,688
569,295,689
570,296,690
5074.16,296,691
571,296,692
572,296,693
5076.09,296,694
573,297,695
574,298,696
575,299,697
576,300,698
577,301,699
578,302,700
579,303,701
5074.15,303,702
5076.08,303,703
5074.13,304,704
5074.14,304,704
580,304,705
581,304,705
5076.07,304,706
582,305,707
583,306,708
584,306,709
585,307,710
586,308,711
587,308,711
588,309,712
589,309,712
5143.34,309,713
5150.01,309,714
590,310,715
591,310,715
592,310,716
593,311,717
5072.01,311,717
594,312,718
5072.02,312,718
595,313,719
596,313,719
597,314,720
598,314,720
599,315,721
600,315,721
601,315,722
602,315,723
603,315,723
5148.08,315,723
604,316,724
605,316,725
606,317,726
5073.01,318,727
5073.02,319,728
607,320,729
608,320,729
609,321,730
610,322,731
611,323,732
612,323,733
613,323,734
614,324,735
615,324,735
616,325,736
5079.02,325,737
617,326,738
618,326,739
619,327,740
620,328,741
621,328,742
622,328,743
623,329,744
624,329,744
625,330,745
626,330,746
627,330,747
628,330,748
629,331,749
630,332,750
631,333,751
632,333,752
633,334,753
634,334,754
635,334,755
636,334,756
637,334,757
638,334,758
640,334,759
639,334,760
641,335,761
642,336,762
643,336,763
644,336,764
645,337,765
646,337,765
647,338,766
5074.19,339,767
5076.12,339,768
5074.20,340,769
5076.13,340,770
5074.21,341,771
5076.14,341,772
5074.27,342,773
5076.20,342,774
5074.28,343,775
5076.21,343,776
5074.29,344,777
5076.22,344,778
5074.30,345,779
5076.23,345,780
5074.31,346,781
5076.24,346,782
5074.32,347,783
5076.25,347,784
5074.33,348,785
5076.26,348,786
5074.34,349,787
5076.27,349,788
648,350,789
5124.02,350,790
649,351,791
650,352,792
651,352,792
652,352,793
653,353,794
654,353,795
655,354,796
656,355,797
657,356,798
658,356,798
659,356,799
660,357,800
661,357,800
662,357,801
663,357,802
664,357,803
665,357,804
666,357,805
667,357,805
668,358,806
